gender,SeniorCitizen,Partner,Dependents,tenure,customerID,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Cuentas_Diarias,Churn
Male,0,Yes,Yes,54,0040-HALCW,Two year,No,Credit card (automatic),20.4,1090.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6799999999999999,No
Male,0,No,No,26,0042-JVWOJ,One year,Yes,Bank transfer (automatic),19.6,471.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6533333333333334,No
Female,0,Yes,Yes,69,0042-RLHYP,Two year,No,Bank transfer (automatic),19.7,1396.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666,No
Male,0,Yes,Yes,37,0048-LUMLS,One year,No,Credit card (automatic),91.2,3247.55,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,3.04,No
Female,0,Yes,No,49,0048-PIHNL,One year,No,Bank transfer (automatic),20.45,900.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6816666666666666,No
Male,0,Yes,No,66,0052-DCKON,One year,No,Bank transfer (automatic),115.8,7942.15,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.86,No
Female,0,No,No,67,0052-YNYOT,One year,No,Electronic check,20.55,1343.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.685,No
Male,0,Yes,Yes,20,0056-EPFBG,Two year,Yes,Credit card (automatic),39.4,825.4,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,1.3133333333333332,No
Female,0,No,Yes,43,0057-QBUQH,Two year,Yes,Electronic check,25.1,1070.15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8366666666666667,No
Female,0,Yes,No,55,0058-EVZWM,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,2.993333333333333,No
Female,0,Yes,No,59,0060-FUALY,Month-to-month,Yes,Electronic check,94.75,5597.65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,3.158333333333333,No
Female,0,Yes,Yes,12,0064-SUDOG,Two year,No,Bank transfer (automatic),20.3,224.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6766666666666666,No
Male,0,Yes,Yes,27,0064-YIJGF,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.525,No
Male,1,No,No,2,0067-DKWBL,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,No,DSL,Yes,No,No,No,No,No,1.6416666666666666,Yes
Female,0,No,No,27,0068-FIGTF,One year,No,Mailed check,78.2,2078.95,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,2.606666666666667,No
Male,0,Yes,Yes,25,0071-NDAFP,Two year,No,Credit card (automatic),25.5,630.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.85,No
Male,0,Yes,Yes,25,0074-HDKDG,One year,Yes,Bank transfer (automatic),61.6,1611.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,2.0533333333333332,No
Male,0,No,Yes,29,0076-LVEPS,Month-to-month,Yes,Mailed check,45.0,1242.45,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,1.5,No
Male,0,Yes,No,72,0078-XZMHT,Two year,Yes,Bank transfer (automatic),85.15,6316.2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,2.8383333333333334,No
Female,0,No,No,14,0080-EMYVY,One year,No,Credit card (automatic),51.45,727.85,Yes,No,DSL,No,Yes,No,No,No,No,1.715,No
Female,0,No,No,35,0080-OROZO,One year,Yes,Electronic check,99.25,3532.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.308333333333333,No
Male,0,No,No,1,0082-LDZUE,Month-to-month,Yes,Mailed check,44.3,44.3,Yes,No,DSL,No,No,No,No,No,No,1.4766666666666666,No
Male,0,No,No,29,0082-OQIQY,Month-to-month,Yes,Electronic check,94.2,2607.6,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,3.14,No
Male,0,No,No,64,0083-PIVIK,One year,No,Electronic check,81.25,5567.55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,2.7083333333333335,No
Female,0,Yes,Yes,39,0089-IIQKO,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,3.3316666666666666,No
Female,1,No,No,40,0093-EXYQL,Month-to-month,Yes,Electronic check,91.55,3673.6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,3.0516666666666667,No
Male,0,No,No,40,0093-XWZFY,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.4833333333333334,Yes
Female,1,No,No,11,0094-OIFMO,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,3.1666666666666665,Yes
Female,0,Yes,No,6,0096-BXERS,Month-to-month,No,Electronic check,50.35,314.55,Yes,Yes,DSL,No,No,No,No,No,No,1.6783333333333335,No
Male,0,No,No,30,0096-FCPUF,Month-to-month,Yes,Mailed check,64.5,1888.45,Yes,Yes,DSL,Yes,No,No,No,No,Yes,2.15,No
Male,0,No,No,27,0098-BOWSO,Month-to-month,Yes,Electronic check,19.4,529.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6466666666666666,No
Male,1,Yes,No,70,0100-DUVFC,One year,Yes,Electronic check,104.8,7308.95,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.493333333333333,No
Female,0,Yes,No,57,0103-CSITQ,One year,Yes,Bank transfer (automatic),109.4,6252.7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.646666666666667,No
Male,0,Yes,No,58,0104-PPXDV,One year,No,Credit card (automatic),50.3,2878.55,Yes,No,DSL,No,No,Yes,No,No,No,1.6766666666666665,No
Male,0,No,No,16,0106-GHRQR,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,2.3800000000000003,No
Female,0,Yes,No,69,0106-UGRDO,Two year,Yes,Electronic check,116.0,8182.85,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8666666666666667,No
Male,0,No,No,1,0107-WESLM,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667,Yes
Male,0,No,Yes,1,0107-YHINA,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,3.325,Yes
Male,1,Yes,Yes,32,0111-KLBQG,Month-to-month,Yes,Mailed check,93.95,2861.45,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,3.131666666666667,No
Male,0,Yes,Yes,16,0112-QAWRZ,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,3.0266666666666664,No
Male,0,Yes,No,49,0112-QWPNC,One year,No,Electronic check,84.35,4059.35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,2.8116666666666665,Yes
Female,0,Yes,No,71,0114-IGABW,Two year,No,Bank transfer (automatic),58.25,4145.9,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,1.9416666666666667,No
Female,0,No,No,33,0114-PEGZZ,Month-to-month,No,Electronic check,107.55,3645.5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.585,No
Female,0,Yes,No,10,0114-RSRRW,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999,No
Male,0,Yes,No,21,0115-TFERT,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.7066666666666666,Yes
Male,0,Yes,Yes,37,0117-LFRMW,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,1.34,Yes
Female,1,No,No,26,0118-JPNOY,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,2.86,No
Male,0,No,No,50,0121-SNYRK,One year,Yes,Mailed check,35.4,1748.9,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.18,No
Female,0,No,No,7,0122-OAHPZ,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.4616666666666664,Yes
Female,0,Yes,Yes,61,0123-CRBRT,Two year,No,Mailed check,88.1,5526.75,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.9366666666666665,No
Male,0,No,No,15,0125-LZQXK,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.378333333333333,Yes
Female,0,No,Yes,26,0128-MKWSG,Month-to-month,No,Mailed check,45.8,1147.0,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,1.5266666666666666,No
Male,0,Yes,No,72,0129-KPTWJ,Month-to-month,Yes,Electronic check,94.65,6747.35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,3.1550000000000002,No
Male,0,Yes,Yes,44,0129-QMPDR,One year,Yes,Bank transfer (automatic),20.5,865.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6833333333333333,No
Male,0,No,No,66,0130-SXOUN,Month-to-month,No,Credit card (automatic),89.4,5976.9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,2.98,No
Female,0,No,No,2,0133-BMFZO,Month-to-month,Yes,Electronic check,86.25,181.65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,2.875,Yes
Female,1,No,No,44,0134-XWXCE,One year,No,Bank transfer (automatic),74.85,3268.05,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,2.4949999999999997,No
Female,0,No,No,12,0135-NMXAP,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,2.9916666666666667,Yes
Male,1,Yes,No,69,0136-IFMYD,Two year,Yes,Electronic check,109.95,7634.25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.665,No
Female,0,No,No,1,0137-OCGAB,Month-to-month,Yes,Mailed check,80.2,80.2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2.6733333333333333,Yes
Female,0,No,No,3,0137-UDEUO,Month-to-month,No,Mailed check,19.85,63.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667,Yes
Female,0,Yes,No,2,0139-IVFJG,Month-to-month,No,Electronic check,90.35,190.5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,3.0116666666666663,No
Female,1,No,No,27,0141-YEAYS,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.881666666666667,No
Male,0,No,No,26,0142-GVYSN,Month-to-month,Yes,Electronic check,20.3,511.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6766666666666666,No
Female,1,Yes,No,39,0147-ESWWR,Month-to-month,Yes,Electronic check,101.25,3949.15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,3.375,No
Male,0,No,No,25,0148-DCDOS,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.1566666666666667,Yes
Female,0,No,No,1,0151-ONTOV,Month-to-month,No,Mailed check,70.9,70.9,Yes,No,Fiber optic,No,No,No,No,No,No,2.3633333333333337,Yes
Male,0,Yes,No,22,0156-FVPTA,Month-to-month,Yes,Electronic check,54.2,1152.7,Yes,No,DSL,Yes,No,No,Yes,No,No,1.8066666666666669,Yes
Female,0,No,No,72,0164-APGRB,Two year,Yes,Electronic check,114.9,8496.7,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.83,No
Female,0,No,No,24,0164-XAIRP,Two year,Yes,Bank transfer (automatic),19.55,470.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6516666666666667,No
Female,0,Yes,No,19,0168-XZKBB,Month-to-month,Yes,Electronic check,86.85,1564.4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,2.895,No
Male,0,Yes,Yes,71,0174-QRVVY,Two year,No,Credit card (automatic),25.35,1847.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8450000000000001,No
Male,1,Yes,No,33,0177-PXBAT,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.6633333333333336,No
Female,0,No,No,3,0178-CIIKR,Month-to-month,No,Mailed check,19.95,58.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999,No
Male,0,Yes,Yes,47,0178-SZBHO,Month-to-month,No,Electronic check,87.2,4017.45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,2.9066666666666667,No
Male,0,Yes,Yes,62,0181-RITDD,Two year,No,Mailed check,108.15,6825.65,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.605,No
Male,0,No,No,71,0186-CAERR,One year,Yes,Bank transfer (automatic),116.3,8309.55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8766666666666665,No
Male,1,Yes,No,7,0187-QSXOE,Month-to-month,Yes,Electronic check,89.0,605.45,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,2.966666666666667,No
Female,0,Yes,Yes,27,0187-WZNAB,Month-to-month,No,Mailed check,74.4,1972.35,Yes,No,Fiber optic,Yes,No,No,No,No,No,2.48,No
Male,0,No,No,2,0188-GWFLE,Month-to-month,No,Mailed check,20.05,33.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333,No
Female,0,No,Yes,25,0191-EQUUH,Two year,No,Bank transfer (automatic),35.05,844.45,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.1683333333333332,No
Male,1,No,No,30,0191-ZHSKZ,Month-to-month,Yes,Electronic check,74.75,2111.3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,2.4916666666666667,No
Female,1,Yes,No,58,0193-ESZXP,One year,Yes,Credit card (automatic),105.5,6205.5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,3.5166666666666666,Yes
Male,0,Yes,No,10,0195-IESCP,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2.841666666666667,Yes
Female,0,No,No,9,0196-JTUQI,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.506666666666667,No
Female,1,Yes,No,6,0196-VULGZ,Month-to-month,Yes,Electronic check,84.35,474.9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2.8116666666666665,Yes
Female,0,Yes,Yes,69,0197-PNKNK,One year,No,Bank transfer (automatic),84.45,5848.6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,2.815,No
Female,1,No,No,66,0201-MIBOL,Two year,Yes,Bank transfer (automatic),102.4,6471.85,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,3.4133333333333336,No
Female,0,No,No,70,0201-OAMXR,One year,No,Credit card (automatic),115.55,8127.6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8516666666666666,Yes
Male,0,No,No,25,0203-HHYIJ,One year,No,Bank transfer (automatic),25.3,676.35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8433333333333334,Yes
Female,0,Yes,Yes,46,0206-OYVOC,Two year,Yes,Mailed check,19.25,864.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6416666666666667,No
Female,0,Yes,No,54,0206-TBWLC,One year,Yes,Mailed check,114.65,6049.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8216666666666668,No
Female,0,No,No,15,0207-MDKNV,Month-to-month,No,Electronic check,105.1,1582.75,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.503333333333333,Yes
Female,0,Yes,Yes,12,0208-BPQEJ,Month-to-month,No,Bank transfer (automatic),19.4,198.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6466666666666666,No
Female,0,No,No,22,0212-ISBBF,Month-to-month,Yes,Electronic check,50.35,1098.85,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,1.6783333333333335,No
Female,0,Yes,No,70,0214-JHPFW,Two year,No,Bank transfer (automatic),57.8,4039.3,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,1.9266666666666665,No
Male,0,No,No,30,0215-BQKGS,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,2.81,No
Male,0,Yes,Yes,71,0218-QNVAS,One year,No,Bank transfer (automatic),100.55,7113.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3.3516666666666666,No
Male,0,Yes,No,30,0219-QAERP,One year,No,Credit card (automatic),19.8,576.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.66,No
Male,0,Yes,Yes,4,0219-YTZUE,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.8266666666666667,Yes
Male,0,No,No,2,0220-EBGCE,Month-to-month,Yes,Electronic check,85.85,167.3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,2.8616666666666664,Yes
Male,0,No,Yes,10,0221-NAUXK,One year,Yes,Bank transfer (automatic),19.95,219.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999,No
Male,1,No,No,4,0221-WMXNQ,Month-to-month,No,Electronic check,75.35,273.4,Yes,No,Fiber optic,Yes,No,No,No,No,No,2.5116666666666663,No
Male,1,No,No,52,0222-CNVPT,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,1.6266666666666665,No
Male,0,No,No,5,0224-HJAPT,Month-to-month,No,Electronic check,47.15,223.15,Yes,Yes,DSL,No,No,No,No,No,No,1.5716666666666665,Yes
Male,0,Yes,Yes,8,0224-NIJLP,Two year,No,Mailed check,20.15,165.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6716666666666666,No
Female,1,No,No,2,0224-RLWWD,Month-to-month,Yes,Electronic check,44.3,89.3,Yes,No,DSL,No,No,No,No,No,No,1.4766666666666666,No
Male,0,No,No,3,0225-ZORZP,Month-to-month,No,Electronic check,84.3,235.05,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,2.81,No
Male,0,No,No,19,0228-MAUWC,Month-to-month,No,Electronic check,59.55,1144.6,Yes,Yes,DSL,No,No,Yes,Yes,No,No,1.9849999999999999,No
Male,0,No,No,72,0229-LFJAF,Two year,No,Bank transfer (automatic),69.65,4908.25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2.3216666666666668,No
Male,1,Yes,No,63,0230-UBYPQ,One year,No,Bank transfer (automatic),36.1,2298.9,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.2033333333333334,No
Male,0,Yes,No,66,0230-WEQUW,Two year,Yes,Bank transfer (automatic),56.6,3789.2,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,1.8866666666666667,No
Male,0,No,No,1,0231-LXVAP,Month-to-month,Yes,Electronic check,75.9,75.9,Yes,No,Fiber optic,No,No,No,Yes,No,No,2.5300000000000002,Yes
Female,0,No,No,60,0233-FTHAV,One year,Yes,Bank transfer (automatic),79.2,4765.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2.64,No
Female,0,Yes,Yes,48,0234-TEVTT,One year,No,Credit card (automatic),45.0,2196.3,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,1.5,No
Female,0,No,No,1,0235-KGSLC,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,2.8516666666666666,Yes
Male,0,No,No,15,0236-HFWSV,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.1116666666666664,Yes
Female,0,Yes,No,50,0237-YFUTL,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,3.6550000000000002,No
Male,0,Yes,Yes,72,0238-WHBIQ,Two year,No,Credit card (automatic),89.7,6339.3,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.99,No
Female,0,No,No,46,0239-OXEXL,Month-to-month,No,Mailed check,84.25,3847.6,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,2.808333333333333,No
Female,0,Yes,Yes,72,0244-LGNFY,Two year,No,Bank transfer (automatic),92.65,6733.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3.0883333333333334,No
Male,0,Yes,Yes,1,0247-SLUJI,Month-to-month,No,Mailed check,19.7,19.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666,No
Female,0,No,No,1,0248-IPDFW,Month-to-month,Yes,Electronic check,50.1,50.1,Yes,Yes,DSL,No,No,No,No,No,No,1.6700000000000002,No
Female,1,No,No,67,0248-PGHBZ,Two year,Yes,Bank transfer (automatic),92.45,6140.85,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,3.0816666666666666,No
Female,0,Yes,Yes,48,0253-ZTEOB,Two year,No,Electronic check,79.65,3870.3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,2.6550000000000002,No
Female,0,No,No,72,0254-FNMCI,Two year,Yes,Electronic check,109.9,7624.2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.6633333333333336,No
